sample,length,sex,catch_date,ices_area,year,qtr,month,cv,modal_age,R01 NO,R02 NO,R03 DK,R04 GB-SCT,R05 NO,R06 NO,R07 DK
631,100,U,2014-10-25,27.4.a,2014,4,10,0,1,NA,NA,NA,NA,1,NA,1
634,105,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,NA,NA,1,NA,NA
635,105,U,2014-10-25,27.4.a,2014,4,10,NA,1,NA,NA,NA,NA,NA,NA,1
636,105,U,2014-10-25,27.4.a,2014,4,10,0,1,NA,NA,NA,NA,1,NA,1
637,110,U,2014-10-25,27.4.a,2014,4,10,0,2,NA,NA,NA,NA,2,NA,2
638,135,U,2014-10-25,27.4.a,2014,4,10,37,1,1,NA,1,NA,1,1,2
639,135,U,2014-10-25,27.4.a,2014,4,10,0,1,1,NA,1,NA,1,1,1
640,140,U,2014-10-25,27.4.a,2014,4,10,0,1,1,1,1,NA,1,1,1
641,140,U,2014-10-25,27.4.a,2014,4,10,0,1,1,1,1,NA,1,1,1
642,145,U,2014-10-25,27.4.a,2014,4,10,0,1,1,1,1,NA,1,1,1
643,150,U,2014-10-25,27.4.a,2014,4,10,0,1,1,1,1,NA,1,1,1
644,150,U,2014-10-25,27.4.a,2014,4,10,34,2,2,1,NA,NA,2,1,2
645,155,U,2014-10-25,27.4.a,2014,4,10,67,1,1,1,NA,NA,3,1,NA
646,155,U,2014-10-25,27.4.a,2014,4,10,0,1,1,1,NA,NA,1,1,1
647,155,U,2014-10-25,27.4.a,2014,4,10,37,1,1,1,NA,NA,2,1,1
648,160,U,2014-10-25,27.4.a,2014,4,10,25,2,2,1,NA,NA,2,2,2
649,160,U,2014-10-25,27.4.a,2014,4,10,20,2,2,2,NA,NA,3,2,2
650,170,U,2014-10-25,27.4.a,2014,4,10,0,2,2,2,NA,NA,2,2,2
